"","x"
"1",9.26253095506617
"2",19.5438173344375
"3",16.1383119498917
"4",16.1586971205111
"5",20.1554578106399
"6",10.1010937341735
"7",31.0999149477131
"8",8.51540645322073
"9",9.88425007364294
"10",7.30473093776635
"11",14.6346148031746
"12",12.1759703566618
"13",17.7067253126517
"14",25.2444744322525
"15",17.4127953419501
"16",13.9858361363658
"17",3.18111024088105
"18",10.9822067324549
"19",2.19022816198445
"20",21.3707473756641
"21",19.6259404462494
"22",12.2430235524037
"23",14.0303953397934
"24",10.7136204398162
"25",16.0007113169581
"26",29.4008157439853
"27",16.0686359097975
"28",10.4800584353745
"29",17.9812900073928
"30",21.1267716002238
"31",18.1572166273246
"32",11.5435895285061
"33",17.4913655516852
"34",6.59129206309509
"35",19.3341023161057
"36",16.999617173802
"37",32.8023291038283
"38",10.112441146223
"39",10.0710307592153
"40",9.18424884324022
"41",11.6937733097083
"42",7.65607558254543
"43",13.1385155747639
"44",9.67363861015338
"45",15.203980875837
"46",10.6492234192788
"47",15.5847420311358
"48",21.9606628795779
"49",22.2597043581982
"50",17.3879398784109
"51",15.353076486027
"52",7.11490680001431
"53",10.2100310901339
"54",16.0296940951909
"55",13.3887927474144
"56",16.160198816487
"57",13.5209338497455
"58",6.31326607990325
"59",6.49115186598406
"60",31.0911886994515
"61",11.8740768386899
"62",18.8773291411905
"63",13.8056241443163
"64",17.1667047863604
"65",15.239796460064
"66",24.5132203053612
"67",31.4954571261119
"68",5.87081727324767
"69",11.748213373572
"70",19.2553217863185
"71",13.8227753119754
"72",16.147776830475
"73",27.8472766619763
"74",20.5874708508972
"75",14.8064564875259
"76",31.9718536494578
"77",12.1480039994539
"78",11.4119526269852
"79",7.11588836756553
"80",22.007685493216
"81",8.62307528414993
"82",9.90587955694279
"83",24.3927505867898
"84",26.9553023091072
"85",10.5158325343635
"86",19.744123674811
"87",26.7393735791002
"88",25.7439960115417
"89",10.5290966392676
"90",16.3277497501025
"91",14.4023173204302
"92",15.7929492684858
"93",19.7730937219279
"94",8.58505360135215
"95",13.176016963065
"96",30.8519850027768
"97",21.8852008299823
"98",22.1373591131744
"99",16.5934029901139
"100",17.0744770233724
"101",17.7604702379397
"102",26.1976585639978
"103",4.79732864191052
"104",16.1069833847897
"105",13.109573066412
"106",13.7670695228359
"107",18.9430013934861
"108",26.4733599361834
"109",18.8312107535266
"110",13.9169534764506
"111",20.1091432244385
"112",14.4590226928518
"113",16.8120321142627
"114",11.2961577009811
"115",12.3251375781406
"116",18.3053386554715
"117",12.2111969980078
"118",7.76993769676003
"119",11.1816495320318
"120",9.19982754855783
"121",27.8925678311776
"122",20.128147393973
"123",20.3459523016086
"124",7.11498590743051
"125",9.2819089447895
"126",8.99811223564814
"127",20.2275601490575
"128",10.5792538450108
"129",12.7009248535674
"130",19.4005191355965
"131",12.0053364204019
"132",12.0862037445146
"133",20.5842702452505
"134",12.8281815203886
"135",32.0682576885139
"136",13.7649055827284
"137",13.2602635346448
"138",17.6397724424424
"139",16.215687509961
"140",16.0243975001198
"141",13.3754877368624
"142",10.7650604657657
"143",6.93411045295859
"144",9.99632953444743
"145",31.9808970875555
"146",15.360611478211
"147",9.45568756046274
"148",14.0567438731201
"149",13.7048556444003
"150",11.2369949597392
"151",30.6122999943425
"152",12.5929554906026
"153",10.6247114950445
"154",15.2412086789826
"155",17.0776032582479
"156",13.3929625729034
"157",21.2639721705787
"158",11.9439199735303
"159",16.9424448649124
"160",12.443952382802
"161",22.9907045344299
"162",17.7195235089369
"163",8.70987621165377
"164",27.8434152541799
"165",15.492553933899
"166",7.05317943650262
"167",11.5362622482023
"168",13.5415231385148
"169",18.2736992570491
"170",13.1787123941835
"171",9.85302467216193
"172",12.183284044044
"173",16.0199357998538
"174",14.1009856453018
"175",32.3309993538801
"176",26.4829414170248
"177",4.93155186441372
"178",12.1472118333993
"179",26.4724313207926
"180",19.5173762020303
"181",18.4216579895423
"182",11.2753004850579
"183",8.77058085338943
"184",20.8145364105149
"185",29.0717838941712
"186",13.0227631997366
"187",11.5255207345062
"188",6.6178359706148
"189",16.2793934572599
"190",32.5048451425278
"191",15.6495825496542
"192",16.1066489216516
"193",10.2644856036701
"194",9.11311154737119
"195",18.2163348723559
"196",9.31157978834893
"197",14.1706364497869
"198",8.47569835999721
"199",18.5935314545917
"200",13.181613644025
"201",15.0763183198163
"202",7.73496200980905
"203",23.886260016219
"204",16.7330742508584
"205",27.3267811653893
"206",13.2468000981164
"207",12.9145344087045
"208",12.6695501713346
"209",32.6302490152719
"210",16.7334801080061
"211",25.7920879831011
"212",10.5886504463525
"213",18.9825162435004
"214",12.5201606952381
"215",15.4312191064974
"216",13.2332238241442
"217",6.60791252056188
"218",7.55151655097047
"219",14.5319450774472
"220",21.3633635438323
"221",22.5758852404424
"222",28.6895289683729
"223",2.69977546844481
"224",12.0285500410646
"225",12.7658828553951
"226",17.2033656257118
"227",15.6230612434917
"228",11.8105473816803
"229",11.3877641760101
"230",33.7851869578986
"231",8.36719211532287
"232",14.2832755372022
"233",11.2992109145539
"234",19.8149271156979
"235",15.2675770546237
"236",17.0988691060897
"237",15.7484706447985
"238",9.25296220132749
"239",21.4078187534875
"240",10.0992426200656
"241",9.94104838552371
"242",14.3465544694564
"243",4.60576603822684
"244",16.0459080000615
"245",12.4800942233443
"246",16.1247533867244
"247",12.5104417096249
"248",5.09636205962962
"249",11.8980017181991
"250",27.5111654822856
"251",26.8058663389451
"252",13.2200623750137
"253",9.24843433897492
"254",35.2236611304179
"255",24.9784222670357
"256",20.3008477827947
"257",27.5924760782965
"258",4.04349199722693
"259",11.0489181708441
"260",29.5284814953374
"261",25.7385026911844
"262",15.2007020067877
